id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2954	residence time	-0.0371	0.3002	8	32	41	6	2014.1667	12.1667	0.8867
2962	resources	-0.6691	0.7261	4	38	60	9	2018.7778	9.5556	1.103
2999	river	0.5518	0.3851	1	67	87	19	2018	10.4211	1.2939
3011	rivers	0.8694	0.0514	1	21	24	5	2017.6	8.8	0.7877
3012	rn-222	0.0303	-1.0792	5	37	63	8	2015.5	11.875	1.2312
3022	rocks	-0.1964	-0.2838	7	44	53	9	2012	18.8889	1.2066
3046	salinity	-0.4849	-0.4452	3	30	41	7	2017.1429	13.4286	1.1187
3062	samples	0.4494	-0.6856	5	32	37	8	2006.625	21.25	0.9687
3090	sea	0.5131	0.4983	1	35	37	8	2010.5	18.875	1.7307
3121	sediments	0.4799	-0.3451	1	40	48	9	2014.2222	16.5556	1.4187
3183	sichuan	-0.8456	-0.2785	4	32	48	5	2019	11	2.0035
3188	silica	-0.6546	0.8182	6	46	75	11	2011.3636	12.0909	1.0087
3214	skin	0.7822	-0.6314	1	7	7	5	2015.6	8.4	0.9742
3238	soil	0.4177	-0.0088	3	19	20	8	2014	18.625	0.9729
3264	solubility	-0.5537	1.0936	6	32	45	5	2008.8	19.2	1.1913
3304	southwestern china	-0.7565	-0.277	3	29	33	5	2016.2	12.2	1.0795
3309	sp-nov.	1.0406	-0.3654	1	23	32	7	2016.5714	16.8571	1.0943
3311	spa	0.5698	-0.5693	1	24	29	13	2013.1538	8.8462	0.6422
3312	spa therapy	0.7419	-0.6842	1	23	27	6	2016.1667	7.6667	0.6181
3318	spas	0.4238	-1.0325	5	26	36	10	2008	11.4	1.1131
3325	speciation	-0.269	-0.7256	4	32	43	6	2015.1667	12.8333	1.3369
3343	spring	-0.025	-0.0231	4	38	49	10	2015.3	16.8	1.9507
3365	spring water	0.4452	-0.6295	1	27	29	11	2017.0909	11.5455	1.0964
3367	spring waters	0.3184	-0.9012	5	30	37	6	2016	14.6667	1.5247
3372	springs	0.117	0.2114	1	186	466	80	2014.0125	15.1125	1.1533
3377	sr	-0.7304	-0.3533	10	23	28	5	2009.8	12.4	0.7069
3387	stable isotope	-0.4578	-0.3346	3	47	63	10	2010.8	29	2.0336
3390	stable isotopes	-0.3992	0.2893	2	113	235	30	2014.8333	13.5333	1.0742
3394	stable-isotopes	-0.4251	0.4168	6	43	56	8	2018.125	11.875	2.6676
3412	stratification	0.9349	0.7706	1	22	32	8	2013.625	13.625	1.655
3414	stratigraphy	0.079	-0.0471	8	29	30	5	2013.2	12.8	0.7467
3415	stream	0.3553	0.1788	8	34	44	8	2015.25	7.125	0.8302
3418	stream temperature	0.9383	0.6032	1	17	37	9	2017.1111	25	2.2457
3423	streams	0.9978	0.1787	1	33	48	10	2019.4	7.9	0.57
3446	submarine groundwater discharge	0.2909	0.3517	1	14	19	7	2018.7143	11.4286	1.1184
3462	sulfate	-0.3671	-0.73	5	53	92	13	2010.2308	25.5385	1.5977
3472	sulfur	0.432	-0.4524	1	61	91	17	2013.3529	17.2941	1.1775
3499	surface	0.3972	0.5845	6	33	41	6	2013.1667	18.8333	1.635
3528	system	0.0415	-0.2498	7	120	229	38	2015.9737	13.3684	1.4962
3530	systematics	-0.43	-0.6231	3	34	36	5	2016.6	11.6	1.0377
3531	systems	-0.2711	0.3692	6	141	345	47	2014.234	10.6809	0.9332
3559	taupo volcanic zone	0.274	-0.3824	8	20	28	7	2015.8571	21.1429	2.2814
3574	tectonics	-1.0589	0.3539	2	52	79	11	2016.3636	7.4545	1.3798
3578	temperature	0.4618	0.2105	1	157	376	68	2016.4559	11.7353	1.0277
3591	temperatures	-0.0907	0.3808	10	45	52	7	2012.8571	11.8571	0.6489
3629	thermal bar	0.867	0.9943	1	12	21	12	2011.6667	13.3333	0.9813
3632	thermal conditions	-0.006	0.6052	2	52	75	11	2013	18.4545	1.1519
3649	thermal groundwater	-0.6768	-0.132	4	38	66	10	2013.8	10.1	1.7069
3673	thermal regime	0.8779	0.5907	1	14	19	7	2010.5714	20	1.6706
3678	thermal spring	0.0181	-0.1711	1	132	272	50	2015.42	9.9	1.1772
3684	thermal spring water	0.6383	-0.3515	1	19	19	7	2016.7143	11.5714	1.2343
3686	thermal springs	-0.0964	0.0422	2	219	792	159	2012.2013	13.4403	1.0918
3690	thermal stratification	0.8873	0.7399	1	19	21	5	2015.2	14.8	2.0285
3692	thermal structure	0.9144	0.8223	1	14	25	5	2018.6	21.2	2.9508
3701	thermal water	0.0902	-0.5772	5	122	256	58	2015.8103	9.9483	0.8454
3704	thermal waters	-0.3232	-0.0653	5	170	529	91	2014.6154	10.3077	0.9711
3762	tibetan plateau	0.3769	0.6975	1	36	45	6	2021.5	7.3333	2.1926
3790	trace elements	-0.0005	-0.53	7	65	101	14	2014.2143	12.0714	1.1782
3794	trace-elements	-0.0893	-0.4774	7	64	116	19	2018.3684	9.5263	1.14
3812	transport	-0.2635	0.221	2	53	75	13	2017.1538	14.2308	1.2368
3816	travertine	-0.1101	-0.2983	8	35	45	9	2009.8889	57.1111	2.1163
3822	travertines	-0.0751	0.158	2	26	30	5	2016.8	6.2	0.2864
3835	tritium	0.0974	0.5621	8	28	38	8	2012.75	8.375	0.594
3840	trout	0.9501	0.3831	1	22	27	7	2012	36.4286	2.0323
3851	turkey	-0.6689	-0.0627	4	104	220	32	2013.4062	13.125	0.823
3883	united-states	0.8235	-0.0917	1	13	14	5	2010.4	13.2	1.0113
3892	uranium	0.139	-1.0853	5	28	40	8	2009	10.25	0.7898
3897	usa	0.087	0.3549	2	33	34	6	2017.5	9	0.9593
3910	valley	-0.0786	0.5194	2	57	83	11	2013.3636	20.3636	2.1006
3916	variability	0.7873	0.63	1	28	39	10	2017.2	16.8	2.1593
3965	volcanism	-0.9268	0.6463	9	31	45	6	2015.1667	15.5	1.2994
3966	volcano	-1.0673	-0.4248	7	42	61	9	2014	20.4444	1.2324
3992	water	0.1495	0.1347	2	179	417	85	2013.4353	15.7059	1.2037
4001	water chemistry	-0.5561	-0.3554	10	25	28	8	2016.875	4.625	0.7564
4020	water quality	0.7678	0.3811	1	13	13	5	2015.6	25	1.3325
4030	water temperature	0.7623	0.5656	1	57	105	22	2016	18.2727	1.6144
4040	water-quality	0.6813	0.3962	1	40	45	9	2018.2222	9.3333	1.1748
4043	water-rock interaction	-0.5869	-0.5868	3	78	156	20	2018.25	11.85	1.505
4049	waters	-0.252	0.1428	4	187	611	107	2013.757	13.1963	1.1146
4071	west-bengal	0.2744	0.1624	6	45	67	8	2016.875	11.125	0.6559
4073	western anatolia	-0.7658	-0.6684	9	19	22	5	2012.6	27.2	1.5899
4123	yellowstone-national-park	0.3174	-0.4443	8	68	93	17	2015.4706	33.7647	2.9424
4130	yunnan	-0.9293	0.2787	4	32	41	5	2020.8	4.8	2.8677
4140	zone	-0.3177	0.2932	4	52	69	11	2015.4545	11.6364	1.005
